目录,题目类型,大题题干,难易度,,,,,,,
/1.3 讨论：经典与人文的“无用之用”,单选题,近代梁漱溟先生，一生都在为“架一座东西文化沟通之桥”而努力，他分中东西文化为两期______。,易,物化文明与心性文明,,,,,,
/1.3 讨论：经典与人文的“无用之用”,单选题,日本近代大实业家涩泽荣一把自己一生的成功经验总结为______。,易,《论语与算盘》,,,,,,
/2.4 无为而治 道济苍生,单选题,以下“无为而治”的两个典型治世是：______,易,文景之治 贞观之治,,,,,,
/4.1 礼乐文化的源头——取法自然 缘情制礼,单选题,中国素有“礼仪之邦”的美誉。对民族来说，礼仪是约定俗成的行为规范。礼始于_____，成于____。,易,祭祀 制度,,,,,,
/4.3 社会涵盖：敬天爱人 谐和万方,单选题,中国历史上有一部载述官制的典籍_____，将职官分为：天官、地官、春官、夏官、秋官、冬官六种。,易,《周礼》,,,,,,
/4.4 礼乐文化的实践——主敬 和雅 守静 中道,单选题,《大学》：“_____而后有定，定而后能____，____而后能安，安而后能虑，虑而后能得。”这里揭示了修身求学中要在心上用工夫。,易,知止，静，静,,,,,,
/8.1 文明的脚步——史前文明与史官来源,单选题,文明发源地的标准有四条标准，其中最重要的一条是_____。,易,文字,,,,,,
/8.2 微言大义，治世青史——《左传》选读,单选题,“崔杼弑君”这个故事是发生在_____国，晋国的史官董狐秉笔直书，维护礼法，奉守史法。,易,齐,,,,,,
/8.4 考镜源流——“六经皆史”的价值,单选题,经史关系在宋代发生了转折，北宋时期的哲学家_____明确提出“六经注我”的命题。其弟子在先生的祭文中明白解释了“六经注我”的含义，而这种治经方法被后来心学的集大成者_____继承和发扬。,易,陆象山 王阳明,,,,,,
/11.2 中华文明与中医学（上）,单选题,张机，字仲景，东汉伟大的医学家，他的___________是我国中医临床医学的奠基性巨著,易,《伤寒杂病论》,,,,,,
/10.7 水墨中华——中国古典书画精神,单选题,画圣是指（    ）,易,吴道子,,,,,,
/中华文化通识教程 第七期,单选题,米开朗基罗的代表作_________至今仍站在弗洛伦萨的阿诺河边，炯炯的双目在审视着所有来到这个城市的人，作品以古喻今，展现了弗洛伦萨人高贵和不屈的精神，以雕塑人物身体之美来肯定人格之美。P51,易,《大卫》,,,,,,
/中华文化通识教程 第七期,单选题,"“微言大义”_________笔法。
",易,《春秋》,,,,,,
/中华文化通识教程 第七期,单选题,我国第一部纪传体通史是________。,易,《史记》,,,,,,
/中华文化通识教程 第七期,单选题,“黍离之悲”是______之悲。,易,故国,,,,,,
/中华文化通识教程 第七期,单选题,诗风古直苍凉，朴实无华，气韵沉雄，代表了建安文学的特点的诗人是____________,易,曹操,,,,,,
/中华文化通识教程 第七期,单选题,"被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________
",易,《春江花月夜》,,,,,,
/中华文化通识教程 第七期,单选题,鲁迅所生活的年代正是中国从传统向现代转换最艰难、最曲折、最痛苦的年代，他感应民族、时代的召唤，先是走科学救国的道路，后来转向文学救国的道路。经过“中国是一个铁屋子万难打破也许能打破”的思辨，鲁迅开始时代的“呐喊”，这便是中国现代文学史上第一部真正具有划时代精神和美学追求的小说_____________。开启了自己的小说创作生涯，也开启了中国现代小说的序幕。,易,《狂人日记》,,,,,,
/中华文化通识教程 第七期,单选题,艺术家比较常人优胜，就在他们的情感比较真挚，感觉比较敏锐，观察比较深刻，想象比较丰富。他们不但能见到比较广大的世界，而且引导我们一般人到较广大的世界里去观赏。像一位英国学者所说的，艺术家“借他们的眼睛给我们去看”（lend their eyes for us to see）___________是启发人生自然秘奥的灵钥。——朱光潜,易,艺术,,,,,,
/中华文化通识教程 第七期,单选题,__________是东汉末年伟大的医学家，被后世尊为“医圣”。所著《伤寒杂病论》，是我国中医临床医学的奠基性经典巨著。,易,张机（张仲景）,,,,,,
/中华文化通识教程 第七期,单选题,_________是第一本由稻盛和夫阐释自己人生哲学与经营哲学的书。郑重向大家推荐他的书。稻盛和夫是日本大萧条时期涌现出来的人杰。他早年坎坷，从中国古代圣贤中学习智慧，获得充实而有意义的人生。以文化支撑生命，支撑事业，他是非常典范的案例，会给我们很深的启示。资料库央视访谈《雪中问“稻”——从中国古代圣贤那里汲取智慧》活法【日】稻盛和夫.pdf,易,《活法》,,,,,,
/中华文化通识教程 第七期,单选题,"
习近平：__________________正是中国传统文化中的精华。
《大学人文教程》P296
",易,王阳明心学,,,,,,
/中华文化通识教程 第七期,单选题,大画家张择端的___________________描绘了北宋都城全盛时期的生活。展现了彼时广阔的生活画面。洋溢着安乐和谐的气氛，快活又热闹。,易,《清明上河图》,,,,,,
/中华文化通识教程 第七期,单选题,史家观点：作为当代最伟大的历史学家，（   ）认为人类的希望在东方，而中国文明将为未来世界转型和21世纪人类社会提供无尽的文化宝藏和思想资源。汤因比曾直言不讳的预言：未来最有资格和最有可能为人类社会开创新文明的是中国，中国文明将统一世界。,易,阿诺德·汤因比,,,,,,
/中华文化通识教程 第七期,单选题,中国历史上的轴心时代是,易,春秋战国时期,,,,,,
/中华文化通识教程 第七期,单选题,中国历史上的“轴心时代”是（  ）,易,春秋战国时期,,,,,,
/中华文化通识教程 第七期,单选题,“民胞物与”是哪一家思想（   ）,易,儒家,,,,,,
/中华文化通识教程 第七期,单选题,“一饭三吐脯，一沐三握发”，礼贤下士的杰出历史人物是（    ）,易,周公,,,,,,
/中华文化通识教程 第七期,单选题,白先勇先生认为（   ）是中华民族的雅乐，他曾经组织青春版《牡丹亭》展演。,易,昆曲,,,,,,
/中华文化通识教程 第七期/1.3 讨论：经典与人文的“无用之用”,单选题,近代梁漱溟先生，一生都在为“架一座东西文化沟通之桥”而努力，他分中东西文化为两期______。,易,物化文明与心性文明,,,,,,
/中华文化通识教程 第七期/1.3 讨论：经典与人文的“无用之用”,单选题,日本近代大实业家涩泽荣一把自己一生的成功经验总结为______。,易,《论语与算盘》,,,,,,
/中华文化通识教程 第七期/2.4 无为而治 道济苍生,单选题,以下“无为而治”的两个典型治世是：______,易,文景之治 贞观之治,,,,,,
/中华文化通识教程 第七期/4.1 礼乐文化的源头——取法自然 缘情制礼,单选题,中国素有“礼仪之邦”的美誉。对民族来说，礼仪是约定俗成的行为规范。礼始于_____，成于____。,易,祭祀 制度,,,,,,
/中华文化通识教程 第七期/4.3 社会涵盖：敬天爱人 谐和万方,单选题,中国历史上有一部载述官制的典籍_____，将职官分为：天官、地官、春官、夏官、秋官、冬官六种。,易,《周礼》,,,,,,
/中华文化通识教程 第七期/4.4 礼乐文化的实践——主敬 和雅 守静 中道,单选题,《大学》：“_____而后有定，定而后能____，____而后能安，安而后能虑，虑而后能得。”这里揭示了修身求学中要在心上用工夫。,易,知止，静，静,,,,,,
/中华文化通识教程 第七期/8.1 文明的脚步——史前文明与史官来源,单选题,文明发源地的标准有四条标准，其中最重要的一条是_____。,易,文字,,,,,,
/中华文化通识教程 第七期/8.2 微言大义，治世青史——《左传》选读,单选题,“崔杼弑君”这个故事是发生在_____国，晋国的史官董狐秉笔直书，维护礼法，奉守史法。,易,齐,,,,,,
/中华文化通识教程 第七期/8.4 考镜源流——“六经皆史”的价值,单选题,经史关系在宋代发生了转折，北宋时期的哲学家_____明确提出“六经注我”的命题。其弟子在先生的祭文中明白解释了“六经注我”的含义，而这种治经方法被后来心学的集大成者_____继承和发扬。,易,陆象山 王阳明,,,,,,
/中华文化通识教程 第七期/11.2 中华文明与中医学（上）,单选题,张机，字仲景，东汉伟大的医学家，他的___________是我国中医临床医学的奠基性巨著,易,《伤寒杂病论》,,,,,,
/中华文化通识教程 第七期/10.7 水墨中华——中国古典书画精神,单选题,画圣是指（    ）,易,吴道子,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,米开朗基罗的代表作_________至今仍站在弗洛伦萨的阿诺河边，炯炯的双目在审视着所有来到这个城市的人，作品以古喻今，展现了弗洛伦萨人高贵和不屈的精神，以雕塑人物身体之美来肯定人格之美。P51,易,《大卫》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,“微言大义”_________笔法。,易,《春秋》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,我国第一部纪传体通史是________。,易,《史记》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,黍离之悲是______之悲。——《大学人文教程》P167,易,故国,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,诗风古直苍凉，朴实无华，气韵沉雄，代表了建安文学的特点的诗人是____________,易,曹操,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________,易,《春江花月夜》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,鲁迅所生活的年代正是中国从传统向现代转换最艰难、最曲折、最痛苦的年代，他感应民族、时代的召唤，先是走科学救国的道路，后来转向文学救国的道路。经过“中国是一个铁屋子万难打破也许能打破”的思辨，鲁迅开始时代的“呐喊”，这便是中国现代文学史上第一部真正具有划时代精神和美学追求的小说_____________。开启了自己的小说创作生涯，也开启了中国现代小说的序幕。,易,《狂人日记》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,艺术家比较常人优胜，就在他们的情感比较真挚，感觉比较敏锐，观察比较深刻，想象比较丰富。他们不但能见到比较广大的世界，而且引导我们一般人到较广大的世界里去观赏。像一位英国学者所说的，艺术家“借他们的眼睛给我们去看”（lend their eyes for us to see）___________是启发人生自然秘奥的灵钥。——朱光潜,易,艺术,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,__________是东汉末年伟大的医学家，被后世尊为“医圣”。所著《伤寒杂病论》，是我国中医临床医学的奠基性经典巨著。,易,张机（张仲景）,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,_________是第一本由稻盛和夫阐释自己人生哲学与经营哲学的书，创作于稻盛和夫担任日航董事长之前，他荣休后担任京瓷名誉会长之时。——287,易,《活法》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,习近平：__________________正是中国传统文化中的精华。,易,王阳明心学,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,单选题,大画家张择端的___________________描绘了北宋都城全盛时期的生活。展现了彼时广阔的生活画面。洋溢着安乐和谐的气氛，快活又热闹。,易,《清明上河图》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/1.3 讨论：经典与人文的“无用之用”,单选题,近代梁漱溟先生，一生都在为“架一座东西文化沟通之桥”而努力，他分中东西文化为两期______。,易,物化文明与心性文明,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/1.3 讨论：经典与人文的“无用之用”,单选题,日本近代大实业家涩泽荣一把自己一生的成功经验总结为______。,易,《论语与算盘》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/2.4 无为而治 道济苍生,单选题,以下“无为而治”的两个典型治世是：______,易,文景之治 贞观之治,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.1 礼乐文化的源头——取法自然 缘情制礼,单选题,中国素有“礼仪之邦”的美誉。对民族来说，礼仪是约定俗成的行为规范。礼始于_____，成于____。,易,祭祀 制度,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.3 社会涵盖：敬天爱人 谐和万方,单选题,中国历史上有一部载述官制的典籍_____，将职官分为：天官、地官、春官、夏官、秋官、冬官六种。,易,《周礼》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/4.4 礼乐文化的实践——主敬 和雅 守静 中道,单选题,《大学》：“_____而后有定，定而后能____，____而后能安，安而后能虑，虑而后能得。”这里揭示了修身求学中要在心上用工夫。,易,知止，静，静,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.1 文明的脚步——史前文明与史官来源,单选题,文明发源地的标准有四条标准，其中最重要的一条是_____。,易,文字,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.2 微言大义，治世青史——《左传》选读,单选题,“崔杼弑君”这个故事是发生在_____国，晋国的史官董狐秉笔直书，维护礼法，奉守史法。,易,齐,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/8.4 考镜源流——“六经皆史”的价值,单选题,经史关系在宋代发生了转折，北宋时期的哲学家_____明确提出“六经注我”的命题。其弟子在先生的祭文中明白解释了“六经注我”的含义，而这种治经方法被后来心学的集大成者_____继承和发扬。,易,陆象山 王阳明,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/11.2 中华文明与中医学（上）,单选题,张机，字仲景，东汉伟大的医学家，他的___________是我国中医临床医学的奠基性巨著,易,《伤寒杂病论》,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/10.7 水墨中华——中国古典书画精神,单选题,画圣是指（    ）,易,吴道子,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,米开朗基罗的代表作_________至今仍站在弗洛伦萨的阿诺河边，炯炯的双目在审视着所有来到这个城市的人，作品以古喻今，展现了弗洛伦萨人高贵和不屈的精神，以雕塑人物身体之美来肯定人格之美。P51,易,《大卫》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,“微言大义”_________笔法。,易,《春秋》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,我国第一部纪传体通史是________。,易,《史记》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,黍离之悲是______之悲。——《大学人文教程》P167,易,故国,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,诗风古直苍凉，朴实无华，气韵沉雄，代表了建安文学的特点的诗人是____________,易,曹操,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,被闻一多先生誉为“诗中的诗，顶峰中的顶峰”的诗篇是________,易,《春江花月夜》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,鲁迅所生活的年代正是中国从传统向现代转换最艰难、最曲折、最痛苦的年代，他感应民族、时代的召唤，先是走科学救国的道路，后来转向文学救国的道路。经过“中国是一个铁屋子万难打破也许能打破”的思辨，鲁迅开始时代的“呐喊”，这便是中国现代文学史上第一部真正具有划时代精神和美学追求的小说_____________。开启了自己的小说创作生涯，也开启了中国现代小说的序幕。,易,《狂人日记》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,艺术家比较常人优胜，就在他们的情感比较真挚，感觉比较敏锐，观察比较深刻，想象比较丰富。他们不但能见到比较广大的世界，而且引导我们一般人到较广大的世界里去观赏。像一位英国学者所说的，艺术家“借他们的眼睛给我们去看”（lend their eyes for us to see）___________是启发人生自然秘奥的灵钥。——朱光潜,易,艺术,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,__________是东汉末年伟大的医学家，被后世尊为“医圣”。所著《伤寒杂病论》，是我国中医临床医学的奠基性经典巨著。,易,张机（张仲景）,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,_________是第一本由稻盛和夫阐释自己人生哲学与经营哲学的书，创作于稻盛和夫担任日航董事长之前，他荣休后担任京瓷名誉会长之时。——287,易,《活法》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,习近平：__________________正是中国传统文化中的精华。,易,王阳明心学,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,单选题,大画家张择端的___________________描绘了北宋都城全盛时期的生活。展现了彼时广阔的生活画面。洋溢着安乐和谐的气氛，快活又热闹。,易,《清明上河图》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/1.3 讨论：经典与人文的“无用之用”,单选题,近代梁漱溟先生，一生都在为“架一座东西文化沟通之桥”而努力，他分中东西文化为两期______。,易,物化文明与心性文明,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/1.3 讨论：经典与人文的“无用之用”,单选题,日本近代大实业家涩泽荣一把自己一生的成功经验总结为______。,易,《论语与算盘》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/2.4 无为而治 道济苍生,单选题,以下“无为而治”的两个典型治世是：______,易,文景之治 贞观之治,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/4.1 礼乐文化的源头——取法自然 缘情制礼,单选题,中国素有“礼仪之邦”的美誉。对民族来说，礼仪是约定俗成的行为规范。礼始于_____，成于____。,易,祭祀 制度,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/4.3 社会涵盖：敬天爱人 谐和万方,单选题,中国历史上有一部载述官制的典籍_____，将职官分为：天官、地官、春官、夏官、秋官、冬官六种。,易,《周礼》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/4.4 礼乐文化的实践——主敬 和雅 守静 中道,单选题,《大学》：“_____而后有定，定而后能____，____而后能安，安而后能虑，虑而后能得。”这里揭示了修身求学中要在心上用工夫。,易,知止，静，静,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/8.1 文明的脚步——史前文明与史官来源,单选题,文明发源地的标准有四条标准，其中最重要的一条是_____。,易,文字,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/8.2 微言大义，治世青史——《左传》选读,单选题,“崔杼弑君”这个故事是发生在_____国，晋国的史官董狐秉笔直书，维护礼法，奉守史法。,易,齐,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/8.4 考镜源流——“六经皆史”的价值,单选题,经史关系在宋代发生了转折，北宋时期的哲学家_____明确提出“六经注我”的命题。其弟子在先生的祭文中明白解释了“六经注我”的含义，而这种治经方法被后来心学的集大成者_____继承和发扬。,易,陆象山 王阳明,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/11.2 中华文明与中医学（上）,单选题,张机，字仲景，东汉伟大的医学家，他的___________是我国中医临床医学的奠基性巨著,易,《伤寒杂病论》,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/10.7 水墨中华——中国古典书画精神,单选题,画圣是指（    ）,易,吴道子,,,,,,
/3.3 强哉矫——和而不流 中正不倚,单选题,_______，德之贼也。（《论语·阳货》）,易,乡愿,,,,,,
/中华文化通识教程 第七期,单选题,_______，德之贼也。（《论语·阳货》）,易,乡愿,,,,,,
/中华文化通识教程 第七期,单选题,"孔子认为“仁爱”的出发点是:
",易,孝悌之道,,,,,,
/中华文化通识教程 第七期/3.3 强哉矫——和而不流 中正不倚,单选题,_______，德之贼也。（《论语·阳货》）,易,乡愿,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程/3.3 强哉矫——和而不流 中正不倚,单选题,_______，德之贼也。（《论语·阳货》）,易,乡愿,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程/3.3 强哉矫——和而不流 中正不倚,单选题,_______，德之贼也。（《论语·阳货》）,易,乡愿,,,,,,
,判断题,有一句老话是多么简单，多么惹人怀疑，同时，它又是多么深永而真确！“知识就是德行！”这句话是苏格拉底说的。,易,正确,,,,,,
/中华文化通识教程 第七期,判断题,有一句老话是多么简单，多么惹人怀疑，同时，它又是多么深永而真确！“知识就是德行！”这句话是苏格拉底说的。,易,正确,,,,,,
/中华文化通识教程 第七期,单选题,《论语.子罕》云：（）者不惑，（）者不忧，（）者不惧。,易,智，仁，勇,,,,,,
/中华文化通识教程 第七期,单选题,【纪录片】“独立之精神，自由之思想。”这句话是著名历史学家（   ）的名言，他是民国时期清华大学国学院四大师之一，他被称为“教授中的教授”。,易,陈寅恪,,,,,,
/中华文化通识教程 第七期,单选题,在心为志，发言为_____。情动于中而形于言，言之不足，故嗟叹之，嗟叹之不足，故永歌之，永歌之不足，不知手之舞之足之蹈之也。——《毛诗序》,易,诗,,,,,,
/中华文化通识教程 第七期,单选题,中国古典绘画讲求:,易,意境,,,,,,
/中华文化通识教程 第七期,判断题,"有“有我之境”，有“无我之境”。
“寒波澹澹起，白鸟悠悠下”，是“无我之境”。",易,正确,,,,,,
/中华文化通识教程 第七期,判断题,"请您一定如实回答：
假期是否有自主学习活动。
比如：阅读资料库的内容、观看纪录片专题片、阅读经典等等？
如答对，请进入下一道题，后续将深入核查。
",易,正确,,,,,,
/中华文化通识教程 第七期/（本科）中华文化通识教程,判断题,有一句老话是多么简单，多么惹人怀疑，同时，它又是多么深永而真确！“知识就是德行！”这句话是苏格拉底说的。,易,正确,,,,,,
/中华文化通识教程 第七期/（高职）中华文化通识教程,判断题,有一句老话是多么简单，多么惹人怀疑，同时，它又是多么深永而真确！“知识就是德行！”这句话是苏格拉底说的。,易,正确,,,,,,
,简答题,课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》等等……因为工作繁忙，不要求您快速读完。考虑一下您打算读哪本，查阅一下相关材料，介绍一下这部原典。,易,悠悠我心,,,,,,
,简答题,没有原典阅读的通识课程是空洞的。我们这门课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》、《红楼梦》等等……因您马上面临繁忙的工作，不要求您快速读完。请考虑您打算读哪本，查阅相关材料，简要介绍这部原典。因这道题，给大家留下充分的答题时间，请仔细查阅、了解。,易,博观,,,,,,
,论述题,"任选一道题作答阅读·思考·评论1.阅读以下片段 子曰：“富与贵，是人之所欲也，不以其道得之，不处也。贫与贱，是人之所恶也，不以其道得之，不去也。”《论语·里仁》 子曰：“贤哉，回也！一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐，贤哉，回也！”《论语·雍也》 子曰：“饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，于我如浮云。” 《论语·述而》 您如何看待“孔颜之乐”？（您有“衣敝缊袍，与衣狐貉者立”穿着破旧粗糙的衣服，与衣着华美的人站在一起的经历么？请真诚地谈一谈您对于贫富的看法，不要拘束，不说假话，也谈谈“孔颜之乐”对您的启示。）2.阅读以下片段 俺曾见金陵玉殿莺啼晓，秦淮水榭花开早， 谁知容易冰消。 眼看他起高楼，眼看他宴宾客， 眼看他楼塌了。 这青苔碧瓦堆，俺曾睡风流觉， 将五十年兴亡看饱。 以上是《桃花扇·哀江南》的一段唱词，您读后有何思考？ 3. 阅读以下片段 盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。 以上选自司马迁《报任安书》，即著名的“发愤著书”说，可结合历史或现实社会生活谈谈自己的启发。 4.联合国秘书长潘基文获得第二届连任发表演说时，援引老子“天之道，利而不害，为而不争”,强调应将这不朽的智慧应用到今天的工作中。对此，您有何感想或启发？ ",易,普救含灵之苦,,,,,,
,简答题,结课感想……,易,恶盈而好谦,,,,,,
/中华文化通识教程 第七期,简答题,课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》等等……因为工作繁忙，不要求您快速读完。考虑一下您打算读哪本，查阅一下相关材料，介绍一下这部原典。,易,人文创新,,,,,,
/中华文化通识教程 第七期,简答题,没有原典阅读的通识课程是空洞的。我们这门课程最重要的一项要求是：必读一部中华原典，比如《论语》、《老子》、《诗经》、《孟子》、《庄子》、《楚辞》、《唐诗三百首》、《红楼梦》等等……因您马上面临繁忙的工作，不要求您快速读完。请考虑您打算读哪本，查阅相关材料，简要介绍这部原典。因这道题，给大家留下充分的答题时间，请仔细查阅、了解。,易,德行宽裕,,,,,,
/中华文化通识教程 第七期,论述题,"任选一道题作答阅读·思考·评论1.阅读以下片段 子曰：“富与贵，是人之所欲也，不以其道得之，不处也。贫与贱，是人之所恶也，不以其道得之，不去也。”《论语·里仁》 子曰：“贤哉，回也！一箪食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐，贤哉，回也！”《论语·雍也》 子曰：“饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，于我如浮云。” 《论语·述而》 您如何看待“孔颜之乐”？（您有“衣敝缊袍，与衣狐貉者立”穿着破旧粗糙的衣服，与衣着华美的人站在一起的经历么？请真诚地谈一谈您对于贫富的看法，不要拘束，不说假话，也谈谈“孔颜之乐”对您的启示。）2.阅读以下片段 俺曾见金陵玉殿莺啼晓，秦淮水榭花开早， 谁知容易冰消。 眼看他起高楼，眼看他宴宾客， 眼看他楼塌了。 这青苔碧瓦堆，俺曾睡风流觉， 将五十年兴亡看饱。 以上是《桃花扇·哀江南》的一段唱词，您读后有何思考？ 3. 阅读以下片段 盖西伯拘而演《周易》；仲尼厄而作《春秋》；屈原放逐，乃赋《离骚》；左丘失明，厥有《国语》；孙子膑脚，《兵法》修列；不韦迁蜀，世传《吕览》；韩非囚秦，《说难》、《孤愤》；《诗》三百篇，大底圣贤发愤之所为作也。 以上选自司马迁《报任安书》，即著名的“发愤著书”说，可结合历史或现实社会生活谈谈自己的启发。 4.联合国秘书长潘基文获得第二届连任发表演说时，援引老子“天之道，利而不害，为而不争”,强调应将这不朽的智慧应用到今天的工作中。对此，您有何感想或启发？ ",易,退步原来是向前,,,,,,
/中华文化通识教程 第七期,简答题,结课感想……,易,自然,,,,,,
/中华文化通识教程 第七期,简答题,谈一谈关于“孝”的体会；以及自己最近的行孝计划。字数不限，可直接打字，或手写后拍照上传。,易,在明明德,,,,,,
/中华文化通识教程 第七期,简答题,请阅读豆瓣贴子《深度工作》《大学》中旨趣与此相通的句子是？,易,天下归心,,,,,,
/中华文化通识教程 第七期,简答题,儒家三纲领大学之道是,易,抽刀断水水更流,,,,,,
/中华文化通识教程 第七期,简答题,1、请阅读豆瓣帖子《深度工作》《大学》中旨趣与此相同的句子是？,易,隔叶黄鹂空好音,,,,,,
