目录,题目类型,大题题干,答案解析,难易度,,,,,
,填空题,举世皆浊我独清，众人皆醉（       ）。新沐者必弹冠，新浴者必（        ）。沧浪之水清兮，可以濯我缨。沧浪之水浊兮，可以濯我（   ）。——《楚辞》,,易,我独醒,振衣,足,,
,填空题,山无陵，江水为竭，冬雷震震，（       ），天地合，乃敢与君绝！——《汉乐府民歌》,,易,夏雨雪,,,,
,填空题,盈盈一水间，（              ）。——《古诗十九首》,,易,脉脉不得语,,,,
,填空题,山不厌高，海不厌深，周公吐哺，（                ）。——曹操《短歌行》,,易,天下归心,,,,
,填空题,采菊东篱下，（               ）。——陶渊明《饮酒》,,易,悠然见南山,,,,
,填空题,（                           ），举杯消愁愁更愁。——李白,,易,抽刀断水水更流,,,,
,填空题,映阶碧草自春色，（                     ）。——杜甫《蜀相》,,易,隔叶黄鹂空好音,,,,
,填空题,在天愿做比翼鸟，（                         ），天长地久有时尽，此恨绵绵无绝期。,,易,在地愿为连理枝,,,,
,填空题,昆山玉碎凤凰叫，（                         ）。——李贺《李凭箜篌引》,,易,芙蓉泣露香兰笑,,,,
,填空题,（                          ），望帝春心托杜鹃。——李商隐《锦瑟》,,易,庄生晓梦迷蝴蝶,,,,
,填空题,疏影横斜水清浅，（                         ）。——林逋《山园小梅》,,易,暗香浮动月黄昏,,,,
,填空题,不忍登高临远，望故乡渺邈，（               ）——柳永《八声甘州》,,易,归思难收,,,,
,填空题,人生到处知何似，应似（                   ）。泥上偶然留指爪，鸿飞那复计东西？——苏轼《和子由渑池怀旧》,,易,飞鸿踏雪泥,,,,
,填空题,难度题：花自飘零水自流，一种相思，（                ）。此情无计可消除，才下眉头，却上心头。——李清照《一剪梅》,,易,两处闲愁,,,,
,填空题,江流宛转绕芳甸，月照花林皆似霰。空里流霜不觉飞，（                        ）——《春江花月夜》,,易,汀上白沙看不见,,,,
,填空题,难度题：木末芙蓉花，山中发红萼。（                ），纷纷开且落。——王维《辛夷坞》,,易,涧户寂无人,,,,
,填空题,难度题：前不见古人，（                ），念天地之悠悠，独怆然而涕下！——陈子昂《登幽州台歌》,,易,后不见来者,,,,
,填空题,我国顶级学府清华大学的校训“_______，__________”出自《周易》的“象辞”——“天行健，君子以自强不息；地势坤，君子以厚德载物。”《易传》认为，宇宙、自然和人类社会的法则，即天道、地道、人道是一致的，体现了“依天道以立于人道”的大道智慧和人文精神。,,易,自强不息,厚德载物,,,
,填空题,曾子曰：“士不可以不______，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎?”《论语·泰伯》【注释】曾子说：“士人不可以不弘大刚毅，责任重大，路途遥远，将行仁，将生命的大道作为自己的责任，这不是责任重大么？到死才停止，这不是路途遥远么？”,,易,弘毅,,,,
,填空题,道常________而无不为。《老子》,,易,无为,,,,
,填空题,花中四君子：梅、兰、竹、____,,易,菊,,,,
,填空题,子不语____、力、乱、神。《论语·述而》【注释】孔子不和人谈论四种事：一怪异；二暴力；三悖乱，四鬼神。,,易,怪,,,,
,填空题,人文通识教育从________导读出发。,,易,经典,,,,
,填空题,道常________而无不为。《老子》,,易,无为,,,,
,填空题,用五个字概括老子的辩证法：（       ）。小注：钱钟书先生认为这五个字抵得上黑格尔的千言万语。,,易,反者道之动,,,,
,填空题,观乎天文，以察时变。观乎________，以化成天下。《周易·贲卦·彖辞》,,易,人文,,,,
,填空题,子不语____、力、乱、神。《论语·述而》,,易,怪,,,,
,填空题,《周易》三才：古人认为周易八卦的下画象征“____”，中画象征“人”，上画象征“____”。《系辞下》说：“三才之道也。”,,易,地,天,,,
,填空题,大学之道：在________，在新民，在止于至善。（《大学》）,,易,明明德,,,,
,填空题,___为贵，社稷次之，君为轻。《孟子·尽心下》,,易,民,,,,
,填空题,离娄之明，公输子之巧，不以______，不能成方圆。《孟子·离娄上》,,易,规矩,,,,
,填空题,它山之石，可以为错。它山之石，___________。《诗经·小雅·鹤鸣》,,易,可以攻玉,,,,
,填空题,人法地，地法天，天法道，道法______。（《老子》第25章),,易,自然,,,,
,填空题,中国传统学术的两大纲:_________之学、___________之学。,,易,心性,治平,,,
,填空题,盈盈一水间，______________________。《古诗十九首》,,易,脉脉不得语,,,,
,填空题,陈子昂与“四杰”等对“______“的追求，使大唐诗歌走向振奋，成为盛唐诗歌的序曲。,,易,风骨,,,,
,填空题,梁漱溟：中国文化最大之偏失，在_______永不被发现。,,易,个人,,,,
,填空题,孙思邈的《__________》是一篇专论医德的旷世名文。作者以赤诚的济世救人之心，对医家提出了应当志成“大医”的殷切期望，着重论述了欲成大医必须解决的两大问题：一是专就医书而言的“精”，二是专就德行而言的“诚”，即医术要精、德行要诚。,,易,大医精诚,,,,
,填空题,史怀泽的《___________》是一部论文集，系统阐述了史怀泽的生命伦理思想。他的伟大在于他把作为人道主义的爱和悲悯，敞开给了我们周围生存着的所有生命。这与中国儒家的“民胞物与”“仁民爱物”，释家的“无缘大慈”、“同体大悲”之心是相通的。,,易,敬畏生命,,,,
,填空题,《我怎样做起小说来》体现了鲁迅的“创作论”，更可贵的是他“_________”、“________”的深厚的热忱，使他的小说蕴藏着巨大的情感力量和深刻的人生内涵与社会内涵。这是民族的，也是世界的。,,易,启蒙主义,为人生,,,
,填空题,人之气质由于天生，本难改变，惟______则可变化气质。——《曾国藩家书》,,易,读书,,,,
,填空题,半亩方塘一鉴开，天光云影共徘徊。问渠那得清如许？为有源头______来。——朱熹《观书有感》,,易,活水,,,,
,填空题,陶渊明千古名句：“____________，悠然见南山。”,,易,采菊东篱下,,,,
,填空题,盖士人读书，第一要______，第二要_______，第三要________。——《曾国藩家书》,,易,有志,有识,有恒,,
,填空题,各美其美，美人之美，美美与共，天下_____________。（费孝通）,,易,大同,,,,
,填空题,子贡问曰：“有一言而可以终身行之者乎？”子曰：“其___乎？己所不欲，勿施於人。”《论语·卫灵公》提示：答案为一个字。,,易,恕,,,,
,填空题,我国顶级学府清华大学的校训“_______，__________”出自《周易》的“象辞”——“天行健，君子以自强不息；地势坤，君子以厚德载物。”《易传》认为，宇宙、自然和人类社会的法则，即天道、地道、人道是一致的，体现了“依天道以立于人道”的大道智慧和人文精神。,,易,自强不息,厚德载物,,,
,填空题,曾子曰：“士不可以不______，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎?”《论语·泰伯》【注释】曾子说：“士人不可以不弘大刚毅，责任重大，路途遥远，将行仁，将生命的大道作为自己的责任，这不是责任重大么？到死才停止，这不是路途遥远么？”,,易,弘毅,,,,
,填空题,道常________而无不为。《老子》,,易,无为,,,,
,填空题,花中四君子：梅、兰、竹、____,,易,菊,,,,
,填空题,子不语____、力、乱、神。《论语·述而》【注释】孔子不和人谈论四种事：一怪异；二暴力；三悖乱，四鬼神。,,易,怪,,,,
,填空题,_________，水善利万物而不争。（《老子》第八章）,,易,上善若水,,,,
,填空题,道常________而无不为。《老子》（填写两字）,,易,无为,,,,
,填空题,人文通识教育从________导读出发。,,易,经典,,,,
,填空题,道常________而无不为。《老子》,,易,无为,,,,
,填空题,用五个字概括老子的辩证法：（       ）。小注：钱钟书先生认为这五个字抵得上黑格尔的千言万语。,,易,反者道之动,,,,
,填空题,观乎天文，以察时变。观乎________，以化成天下。《周易·贲卦·彖辞》,,易,人文,,,,
,填空题,子不语____、力、乱、神。《论语·述而》,,易,怪,,,,
,填空题,《周易》三才：古人认为周易八卦的下画象征“____”，中画象征“人”，上画象征“____”。《系辞下》说：“三才之道也。”,,易,地,天,,,
,填空题,大学之道：在________，在新民，在止于至善。（《大学》）,,易,明明德,,,,
,填空题,离娄之明，公输子之巧，不以______，不能成方圆。《孟子·离娄上》,,易,规矩,,,,
,填空题,它山之石，可以为错。它山之石，___________。《诗经·小雅·鹤鸣》,,易,可以攻玉,,,,
,填空题,人法地，地法天，天法道，道法______。（《老子》第25章),,易,自然,,,,
,填空题,中国传统学术的两大纲:_________之学、___________之学。,,易,心性,治平,,,
,填空题,梁漱溟：中国文化最大之偏失，在_______永不被发现。,,易,个人,,,,
,填空题,兴于诗，立于礼，成于（   ）。《论语·泰伯》（填一字）,,易,乐,,,,
,填空题,《庄子·秋水》：“井蛙不可以语于海者，拘于虚也，夏虫不可语于______者，笃于时也，曲士不可以语于_____者，束于教也。”,,易,冰,道,,,
,填空题,《汉书·艺文志·诸子略序》引《易》：“天下同归而殊途，_________________。”,,易,一致而百虑,,,,
,填空题,德国人尤利斯噶尔在1910年写了一本书：《老子的书----来自最高生命的_______教诲》，他说：“老子，他是推动未来的能动力量，他比任何现代的都更加具有现代意义，他比任何生命都更具有生命的活力。”,,易,至善,,,,
,填空题,我国顶级学府清华大学的校训“_______，_________”出自《周易》的“象辞”。《易传》认为，宇宙、自然和人类社会的法则，即天道、地道、人道是一致的，体现了“依天道以立于人道”的大道智慧和人文精神。,,易,自强不息,厚德载物,,,
,填空题,故君子尊德性而道问学，致广大而尽精微，极高明而__________。,,易,道中庸,,,,
,填空题,故坚强者死之徒，____________生之徒。（《老子》）,,易,柔弱者,,,,
,填空题,质胜文则野，文胜质则史，_________，然后君子。《论语?雍也》【注释】质朴胜过文采就粗野，文采胜过质朴就死板，文采质朴结合匀称，形式内容相得益彰，才是君子。按：“质胜文”近似动物，但有生命；“文胜质”如同机器，更为可怖。孔子言“仁”居功至伟者，就是使人不做动物又非机器。,,易,文质彬彬,,,,
,填空题,用五个字概括老子的辩证法：（       ）。小注：钱钟书先生认为这五个字抵得上黑格尔的千言万语。,,中,反者道之动,,,,
,填空题,圣人后其身而身先，外其身而身存。——（《道德经》第七章）中国武侠小说中的高手过招，胜利者会真诚道一句“(      )！”，谦虚地表示“承蒙您相让，使我优先”。圣人更是如此，“后其身”、“外其身”舍弃小我而成就大我。世间万事万物都处在变化之中，“弱者，道之用”。唯有“慈、俭、不敢为天下先”的厚德之人才与道最近。古人云“水唯善下方成海，山不矜高自及天”。,,易,承让,,,,
,填空题,用一个成语概括以下段落________________选自北宋大儒张载的《西铭》——乾称父，坤称母；(以天为父，以地为母。)予兹藐焉，乃混然中处。（我啊，是那样的渺小，与天地混合，处于天地之中。）故天地之塞，吾其体；（所以啊，充塞于天地间的是乾坤阴阳二气，我也以此乾坤阴阳二气为体。）天地之帅，吾其性。（阴阳二气所遵循的天地之乾健坤顺的性质，我也以此成就了自己的本性。）民，吾同胞；物，吾与也。（大地众生皆是如此，所以啊，人民是我的同胞，万物是我的同类）,【小注】张载（1020－1077年），字子厚，人称横渠先生，北宋大思想家，为后世留下了许多宝贵的精神遗产，其中包括他的横渠四句：“为天地立心，为生民立命，为往圣继绝学，为万世开太平。”以上段落选自《西铭》，《西铭》全篇核心在于提出了“民胞物与”的境界，并在此基础上构建了一个理想社会。张载之所以能提出这样的境界，是认为人与天地万物都同处于天地间，都来源于阴阳二气，都是以阴阳二气为体，同时又以天地的乾健坤顺为万物之性。正是因为这样，才认为人民是自己的兄弟，万物是自己的同类。在这种境界中，君王、大臣各司其职，同时也应对各种人群以及天地万物施以大爱。,易,民胞物与,,,,
,填空题,人法地，地法天，天法道，道法（       ）——《道德经·第二十五章》,,易,自然,,,,
,填空题,人文通识教育从________导读出发。,,易,经典,,,,
,填空题,道常________而无不为。《老子》,,易,无为,,,,
