目录,题目类型,大题题干,正确答案,难易度,建议分数,,,
,填空题,华人首富李嘉诚在故乡创办了“汕头大学”，之后，他每年都回汕大参加学生毕业典礼。以下是李嘉诚90岁时，最后一次在汕头大学演讲的片段，是很有深心和智慧的。李嘉诚演讲.mp4请为这一段演讲点题：建立___，追求____。另，题外话：和大家分享走红网络的汕头大学非正式版校歌《大学问》：https://mp.weixin.qq.com/s/_54tZx2BBZFhI8WUI2TQNQ ,,易,100,自我,无我,
,填空题,辅车相依，_________________。——《左传》P131,,易,100,唇亡齿寒,,
,填空题,人文通识教育从________导读出发。《大学人文教程》序,,易,100,经典,,
,填空题,秦观的“可奈春光似水声，______________”杜甫的“一片飞花减却春，风飘万点正愁人”秦观的“飞红万点愁如海”曹雪芹“花开花落飞满天”李煜“流水落花春去也，_____________”。,,易,100,迢迢去不停,天上人间,
,填空题,春花秋月何时了？往事知多少！小楼昨夜又东风，故国不堪回首月明中！雕栏玉砌应犹在，只是朱颜改。问君能有几多愁？__________________！——李煜《虞美人》,,易,100,恰似一江春水向东流,,
,填空题,德薄而__________，知小而谋大，力小而任重，鲜不及矣。《大学人文语文》P71,,易,100,位尊,,
,填空题,人之气质由于天生，本难改变，惟______则可变化气质。——《曾国藩家书》《大学人文教程》p272,,易,100,读书,,
,填空题,非澹泊无以明志，______________________。诸葛亮《诫子书》,,易,100,非宁静无以致远,,
,填空题,人法地，地法天，天法道，道法______。（《老子》第25章),,易,100,自然,,
,填空题,菩提本无树，明镜亦非台。___________，何处惹尘埃！——《坛经》,,易,100,本来无一物,,
,填空题,居天下之广居，___________，行天下之大道。得志，与民由之;不得志，___________。富贵不能淫，贫贱不能移，威武不能屈，此之谓_________。《孟子·滕文公下》,,易,100,立天下之正位,独行其道,大丈夫
,填空题,子曰：“君子不重则_______，学则不固。”（《论语·学而》）,,易,100,不威,,
,填空题,《大学人文教程》P275真正有思想的作品与其他泛泛作品的区别之处，就在于前者具有一种断然和确切的特质与连带由此而来的______、明了。具备一流思想能力的人所带有的特质标记，就是他们所作出的判断都是直截了当、绝不含糊。每一个真正的独立、自为思考的思想家就这一方面而言跟_______相差无几。——叔本华《论思考》,,易,100,清晰,王侯,
,填空题,庄子说：“嗜欲深者，其（      ）”——天机是人的智慧与灵性。一个人如果深陷欲海、贪婪无度，就会失去生命中的灵性与智慧，错过人生中许多好的机缘与人生真味。——《大学人文教程》P22,,易,100,天机浅,,
,填空题,《大学人文教程》P284你以前经常会问到“这个课程有什么用”，这是个好问题，但是我希望你理解：“教育的真谛就是当你忘记一切所学到的东西之后所剩下的东西。”我的意思是，最重要的不是你学到的具体的知识，而是你学习新事物和解决新问题的能力。这才是大学学习的真正意义——这将是你从被动学习转向______学习的阶段，之后你会变成一个很好的自学者。所以，即便你所学的不是生活里所急需的，也要认真看待大学里的每一门功课，就算学习的技能你会忘记，学习的能力是你将受用终身的。——《李开复写给女儿的一封信》,,易,100,自主,,
